="Regressing Enrollment on DK VA, Heterogeneity by Prior ela score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer"

="1.prior_ela_z_score_xtile#c.va_dk_enr",="0.090***",="0.075***",="0.084***",="0.065***",="0.077***",="0.062***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.005)",="",="",="",="",="",="",="",="",="",="",="",=""

="2.prior_ela_z_score_xtile#c.va_dk_enr",="0.090***",="0.075***",="0.080***",="0.064***",="0.075***",="0.062***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="3.prior_ela_z_score_xtile#c.va_dk_enr",="0.086***",="0.071***",="0.074***",="0.058***",="0.070***",="0.056***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="4.prior_ela_z_score_xtile#c.va_dk_enr",="0.080***",="0.067***",="0.071***",="0.057***",="0.067***",="0.054***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="5.prior_ela_z_score_xtile#c.va_dk_enr",="0.078***",="0.063***",="0.066***",="0.052***",="0.063***",="0.050***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="6.prior_ela_z_score_xtile#c.va_dk_enr",="0.073***",="0.059***",="0.062***",="0.048***",="0.059***",="0.047***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="7.prior_ela_z_score_xtile#c.va_dk_enr",="0.069***",="0.054***",="0.060***",="0.047***",="0.057***",="0.046***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",=""

="8.prior_ela_z_score_xtile#c.va_dk_enr",="0.063***",="0.049***",="0.051***",="0.040***",="0.048***",="0.038***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",=""

="9.prior_ela_z_score_xtile#c.va_dk_enr",="0.052***",="0.041***",="0.041***",="0.033***",="0.039***",="0.032***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.086***",="0.067***",="0.084***",="0.056***",="0.079***",="0.051***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="",="",="",="",="",=""

="2.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.095***",="0.077***",="0.095***",="0.072***",="0.090***",="0.065***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="",="",="",="",="",=""

="3.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.103***",="0.082***",="0.099***",="0.075***",="0.093***",="0.066***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.001)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="",="",="",="",="",=""

="4.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.104***",="0.082***",="0.102***",="0.075***",="0.095***",="0.066***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",=""

="5.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.107***",="0.086***",="0.109***",="0.084***",="0.102***",="0.075***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",=""

="6.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.102***",="0.082***",="0.100***",="0.078***",="0.093***",="0.068***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",=""

="7.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.101***",="0.083***",="0.103***",="0.083***",="0.096***",="0.073***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",=""

="8.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.090***",="0.075***",="0.087***",="0.070***",="0.081***",="0.062***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",=""

="9.prior_ela_z_score_xtile#c.va_dk_enr_2year",="",="",="",="",="",="",="0.081***",="0.069***",="0.078***",="0.065***",="0.073***",="0.057***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",=""

="1.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.035***",="0.032***",="0.040***",="0.035***",="0.038***",="0.028***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.003)"

="2.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.059***",="0.051***",="0.064***",="0.057***",="0.062***",="0.046***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="3.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.073***",="0.064***",="0.075***",="0.065***",="0.072***",="0.050***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="4.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.084***",="0.073***",="0.082***",="0.070***",="0.079***",="0.055***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="5.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.089***",="0.078***",="0.087***",="0.077***",="0.084***",="0.062***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="6.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.092***",="0.081***",="0.090***",="0.080***",="0.087***",="0.067***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="7.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.093***",="0.082***",="0.093***",="0.084***",="0.091***",="0.069***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="8.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.089***",="0.078***",="0.089***",="0.078***",="0.086***",="0.067***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="9.prior_ela_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.083***",="0.072***",="0.078***",="0.068***",="0.075***",="0.056***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="10.prior_ela_z_score_xtile#c.va_dk_enr_b_sp_b_ct",="0.036***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2016.year",="0.012***",="0.011***",="0.011*",="0.009*",="0.011*",="0.009*",="-0.006",="-0.006",="-0.005",="-0.006",="-0.005",="-0.006",="0.016***",="0.016***",="0.015***",="0.015***",="0.015***",="0.015***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="2017.year",="-0.016***",="-0.015***",="-0.015***",="-0.014***",="-0.015***",="-0.014***",="-0.028***",="-0.028***",="-0.031***",="-0.030***",="-0.031***",="-0.030***",="0.011***",="0.012***",="0.013**",="0.014***",="0.014***",="0.015***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2018.year",="-0.027***",="-0.028***",="-0.025***",="-0.026***",="-0.025***",="-0.027***",="-0.006",="-0.006",="-0.002",="-0.001",="-0.002",="-0.002",="-0.024***",="-0.023***",="-0.027***",="-0.028***",="-0.027***",="-0.026***"
="",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="age",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="0.male",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.male",="-0.080***",="-0.080***",="-0.074***",="-0.073***",="-0.073***",="-0.073***",="0.014***",="0.015***",="0.024***",="0.026***",="0.025***",="0.026***",="-0.095***",="-0.095***",="-0.098***",="-0.098***",="-0.098***",="-0.098***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_asian",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_asian",="0.065***",="0.075***",="0.053***",="0.059***",="0.056***",="0.059***",="-0.027***",="-0.022***",="-0.026***",="-0.016**",="-0.019***",="-0.015**",="0.093***",="0.100***",="0.080***",="0.076***",="0.077***",="0.075***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.004)",="(0.005)",="(0.004)",="(0.005)",="(0.003)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.006)"

="0.eth_hispanic",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_hispanic",="-0.004",="-0.004",="-0.023***",="-0.030***",="-0.029***",="-0.031***",="0.016***",="0.002",="0.013***",="-0.004",="0.005",="-0.004",="-0.020***",="-0.005*",="-0.035***",="-0.025***",="-0.033***",="-0.026***"
="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.002)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)"

="0.eth_black",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_black",="0.019***",="0.014***",="0.008",="-0.004",="0.004",="-0.003",="-0.010***",="-0.038***",="-0.014**",="-0.038***",="-0.023***",="-0.038***",="0.030***",="0.053***",="0.023***",="0.035***",="0.028***",="0.036***"
="",="(0.003)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.005)",="(0.005)",="(0.006)",="(0.005)",="(0.006)",="(0.004)",="(0.004)",="(0.005)",="(0.006)",="(0.005)",="(0.006)"

="0.eth_other",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_other",="-0.007**",="-0.008**",="-0.009*",="-0.010**",="-0.009*",="-0.010*",="-0.003",="-0.006",="-0.001",="-0.002",="0.000",="0.000",="-0.004",="-0.002",="-0.008",="-0.008",="-0.009",="-0.010*"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="0.econ_disadvantage",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.econ_disadvantage",="-0.055***",="-0.067***",="-0.055***",="-0.068***",="-0.062***",="-0.068***",="-0.013***",="-0.025***",="-0.008***",="-0.021***",="-0.010***",="-0.021***",="-0.041***",="-0.042***",="-0.045***",="-0.047***",="-0.051***",="-0.047***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.limited_eng_prof",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.limited_eng_prof",="-0.065***",="-0.056***",="-0.076***",="-0.069***",="-0.073***",="-0.070***",="-0.031***",="-0.020***",="-0.038***",="-0.028***",="-0.034***",="-0.025***",="-0.033***",="-0.035***",="-0.040***",="-0.043***",="-0.040***",="-0.045***"
="",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.disabled",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.disabled",="-0.033***",="-0.026***",="-0.036***",="-0.029***",="-0.032***",="-0.028***",="0.024***",="0.028***",="0.036***",="0.037***",="0.036***",="0.036***",="-0.056***",="-0.054***",="-0.069***",="-0.066***",="-0.067***",="-0.063***"
="",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_ela_z_score",="0.055***",="0.057***",="0.055***",="0.058***",="0.057***",="0.059***",="-0.043***",="-0.040***",="-0.047***",="-0.043***",="-0.046***",="-0.042***",="0.097***",="0.097***",="0.101***",="0.101***",="0.102***",="0.101***"
